category,subCategory,question,anaswer
Insurance,Life Insurance,What is the average life insurance cost per month?,The cost of a life insurance policy depends on the type of policy you own. Term plans are generally cheaper in nature as it only offers death benefit with no profits or returns. Traditional plans and unit-linked plans tend to cost more as they offer a wide range of benefits. The cost also depends on the sum assured i.e. a higher sum assured will cost you more and vice versa.
Insurance,Life Insurance,"Which is better, term life or whole life insurance?","Term life plans are offer a high sum assured at low premium rates. Such plans do not offer any returns and are valid for a limited period of time. Whole life plans, on the other hand, offer death benefits as well as savings benefits. Unlike term plans, these plans are valid for the entirety of the policyholder’s life. Both types of policies have their own perks. You must assess your needs first to decide which is better. If you seek high coverage at low premium rates, then term plans are a better option. However, if you want life cover as well as savings benefits with a longer tenure, a whole life plan will be a perfect pick."
Insurance,Life Insurance,Can I get life insurance at 62 years?,"Yes, you can buy life insurance at 62 years. Most life insurance policies have a maximum entry age ranging between 55 years and 60 years. However, there are numerous policies that are designed specifically for senior citizens. Such plans are useful for individuals who haven’t invested in a plan earlier in life. Certain plans for senior citizens also offer retirement benefits and pay outs."
Insurance,Life Insurance,Why do term insurance policies offer higher life coverage than other types of insurance policies?,"Premiums paid by a term insurance policyholder are fully utilised towards creating a life cover. Under other types of life insurance plans, only a part of the premium paid is allocated towards creating a life cover. The balance is utilised to provide for maturity benefits or as in the case of ULIPs a part of the premium is used to meet administration and sales expenses. This makes term insurance plans more affordable than other plans. This is why they are also called pure protection plans because they only offer a pay-out in the event of death of the life assured. Other plans offer returns as well as life coverage."
Insurance,Life Insurance,What is the difference between a reversionary bonus and terminal bonus?,"Bonuses are offered under participating life policies i.e., policyholders can participate in the profits of the policyholders’ fund. A reversionary bonus is declared as a percentage which applies to the chosen sum assured. Reversionary bonuses can be simple or compounded bonuses. One-off reversionary bonuses are those that are paid out of one-time profits that may not occur again. A terminal bonus is the residual bonus declared on maturity or the policy i.e., if after the declaration of all reversionary bonuses, there are still profits accrued to the fund, it may be paid out to the policyholder in the form of a terminal bonus."
Insurance,Life Insurance,What is a Bonus?,"Under certain plans, insurance companies give policyholders a share in profits. This amount is called a bonus and accrues to the policyholder at no extra cost. It is awarded at certain times during the policy period. Bonus amounts are decided by the company and are paid out in addition to the chosen sum assured. Certain plans guarantee bonus payments."
Insurance,Life Insurance,What are Riders?,"Riders are specific to certain situations or events whereby the insurer pays the policyholder a certain amount of money when such an event occurs. E.g., critical illness or disability rider. They are an additional benefit to a standard policy for higher premiums. "
Insurance,Life Insurance,What is a policy's ‘Free-Look Period’?,"As per IRDA regulations, if a policyholder does not wish to continue his/her policy they can discontinue the same within the first 15 days of buying it and get a refund."
Insurance,Life Insurance,What is meant by ‘Assignment’ of a policy?,"If, for example, a policy is used to raise a loan, the policy is assigned or transferred to the lender. The policy then bears the lender or the assignees assignee’s name. Once the loan is repaid the policy can be reassigned or transferred back. "
Insurance,Life Insurance,What is the ‘Surrender Value’ of a policy?,"If a policyholder wishes to cancel his/her policy, once in effect, they can surrender it to the insurer and receive the surrender value as a refund. The surrender value is calculated based on premiums paid and how long the policy was in effect. Surrender is usually allowed after a certain period of time."
Insurance,Life Insurance,Can I avail a loan through my life insurance policy?,Some insurance companies provide loans against insurance policies to their customers. The amount of money you can avail through such a loan is usually a percentage of the insurance policy's surrender value.
Insurance,Life Insurance,What are settlement options?,"At the time of purchasing a life insurance policy, the insurance provider may design and define the manner in which you will receive the payout. Settlement options are offered by most insurance companies and they ensure that you receive your money in a manner that was specified when you were purchasing the insurance policy."
Insurance,Life Insurance,How will I figure out if the agent who is selling the life insurance policy to me is authorised or not?,"Insurance agents are usually representatives of specific life insurance companies and have the authority to offer advice on any product that is sold by that particular insurance company. All agents who deal with the sale of life insurance policies are registered with the IRDA. All agents also have a basic requirement to pass an examination before undertaking to sell insurance policies. In case you are purchasing an insurance policy through your agent, make sure that you request for his/her authorisation card attained from IRDA."
Insurance,Life Insurance,What are the major differences between a non-participating policy and a participating one?,"A non-participating insurance policy is one that does not allow the insured individual to share in the profits made by the company, while a participating policy ensures that an insured individual has the right to share in the profits of the company. However, the dividends or bonuses declared by the insurance company may increase or decline based on the life funds investments returns."
Insurance,Life Insurance,What does the company do in case I do not make premium payments on time?,"Insurance companies provide something called a grace period to customers who are unable to make premium payments on the due date. The period usually spans for 15 to 30 days, and customers who default on their premium payments are expected to pay during this period. Failure to do so will mean that your life insurance policy has lapsed. As a result, you can either reinstate or revive the policy within a predetermined period of time."
Insurance,Life Insurance,What happens if my policy is cancelled during the free-look period?,"Cancellation of policies during the free-look period can be done free of cost. However, in case you wish to cancel your life insurance policy after the free-look period, you will be charged a small fee for the same."
Insurance,Life Insurance,Can I find a policy that will pay me money while the policy term is still in progress?,Money Back policies are the best bet in case you want a policy that will pay out during the course of the policy term.
Insurance,Life Insurance,Is it better to purchase a life insurance policy from an agent or should I only purchase one from an insurance company?,"While life insurance companies are the most reliable sources when it comes to purchasing life insurance policies, insurance agents are not totally untrustworthy either. However, before you purchase a life insurance policy from an insurance agent, it is advised that you request for their authorisation card from the IRDA to ensure that they are certified sellers."
Insurance,Life Insurance,When does life insurance cover begin?,Your life insurance cover will start on the date of commencement after the insurer has received and approved of your insurance application. It is also known as the Risk Commencement date.
Insurance,Life Insurance,Can I get life insurance for my parents?,"Yes, you can get your parents insured under a life insurance policy. Depending on their age and health, you can choose from a range of life insurance policies which are specifically designed for older individuals or senior citizens, as the case may be."
Insurance,Life Insurance,Are life insurance payouts taxable?,"As per the provision of Section 10 (10D) of the Income Tax Act, 1961, any sum assured amount received under the policy, along with any bonus that is paid by the policy at the time of its maturity or on the survival of the life assured, is tax free. However, there are certain conditions following which the policy proceeds may be taxed."
Insurance,Life Insurance,How much life insurance cover does a person need?,"When it comes to life insurance, one person’s requirements will differ from another’s. The amount of life insurance cover that one requires depends on various factors such as their income, their liabilities, and their expenses. After calculating all of these, you can determine how much life insurance cover would be adequate for you"
Insurance,Life Insurance,Is it better to take a single cover policy or a joint life insurance policy?,"In case of single cover policies, both individuals are covered under separate and independent policies which have no effect on each other. However, under a joint policy, both individuals are covered under one policy. In case of a mishap where both individuals lose their life, their beneficiary will receive only a single pay out, while in the case of two single policies, there will be two pay outs, one from each policy."
Insurance,Life Insurance,At what age should you buy life insurance?,"Life insurance prices are heavily influenced by your age. As you grow older, the premium rates will increase as old age makes us more vulnerable to risks. Ideally, you should invest in a life insurance plan in your late 20s or early 30s. The ideal age varies based on the number of dependents you have. If you have a history of any critical illness in your family, it is advisable to invest in a plan as soon as possible."
Insurance,Life Insurance,Do life insurance premiums increase with age?,"Premiums for various kinds of life insurance policies like whole life policies remain fixed for life, as they do for term insurance policies. However, for term insurance policies, if you wish to renew the policy after the end of the policy term, the premiums may significantly increase in order to cover the risk of a higher age."
Insurance,Life Insurance,What is modified death benefit?,A policy which features a modified death benefit usually has a waiting period before it pays out the full death benefit to the beneficiary.
Insurance,Life Insurance,What is a graded premium life insurance policy?,"Graded life insurance is one of the lesser known types of insurance. This whole life policy features an initial premium which are is lower than other similar policies. However, the premium increases every year for a fixed number of years, after which it stays fixed till the policyholder owns the policy. This type of life insurance is suitable for those individuals who wish to get covered but may not be able to afford the premiums of a life insurance policy."
Insurance,Life Insurance,Are life insurance premiums fixed?,The premiums of life insurance policies usually do not change and remain fixed for the term of the policy which is decided by the policyholder. Some policies have single pay or limited pay options also where the premiums can be paid in one lump sum or over a period of a few years.
Insurance,Life Insurance,What does a typical life insurance policy offer?,"Life insurance is essentially a way in which an individual can secure his/her family’s future in his/her absence. A life insurance policy’s worth is efficiently comprehended once the breadwinner of the family passes away or his/her income ceases to come in altogether. The payout amount released by the insurance provider is thereafter utilised by the family to clear any debts, pay off loans, pay the mortgage amount, and so on."
Insurance,Life Insurance,What is the meaning of whole life insurance?,"As the name suggests, a whole life insurance policy essentially provides coverage for an individual’s lifespan. In case the insured passes away before the end of the policy term, the corpus built is handed out to the nominee/beneficiary as mutually agreed upon by the insured and the insurer."
Insurance,Life Insurance,What is the meaning of a money back plan?,"Money back plans essentially combine the elements of insurance and investment to provide policyholders with a policy that is comprehensive in nature. Over the policy term, these plans offer a certain amount of money (periodic returns) at regular intervals as survival benefit. The regular payouts are paid as per the interval decided by the insured, and upon successful survival of the policy term, the insured gets the remainder of the maturity benefit."
Insurance,Term Insurance,What are the services included in long-term care insurance?,"There is a range of services that long-term care insurance offers. These include home-based services such as health care at home, companion/friendly visitor services, and so on. Long-term care insurance also provides facility-based care which includes assisted living facilities, adult foster care, nursing homes, and so on. It also provides community-based services to its customers which include adult day service programs, meals programmes, transportation services, and so on."
Insurance,Term Insurance,Is long-term care insurance coverage included in a comprehensive health plan?,"No. A typical health insurance policy will offer you protection for hospitalisation or surgery, although it will not cover extended healthcare services. If you want to receive healthcare services and benefits for a prolonged period of time, it is advisable to purchase a long-term care insurance policy.

"
Insurance,Term Insurance,What is the tenure of a long-term care insurance policy?,"Long-term care insurance coverage can be for a long time or a short span of time, depending on what the insured individual needs. If it is short-term care, the cover will typically last for a few weeks or months. Short-term care is suitable for people who are recovering from an illness or injury that has occurred suddenly. In case of long-term care, a person gets associated with the insurance cover for a long period of time. This type is suitable for people who have illnesses such as Alzheimer's or disability caused by a stroke."
Insurance,Term Insurance,What is the suitable age group for purchasing a long-term insurance policy?,A long-term care insurance policy should be purchased between the age groups of 55 and 64 years. This is because an individual will need long-term care insurance cover when he/she gets older.
Insurance,Term Insurance,How reasonable are the premiums in a long-term care insurance policy?,"The premiums in such a policy are determined by the individual's gender, age, and health condition. The case is the same as any other life insurance policy. The earlier you purchase the policy, the lower will be your premium amount."
Insurance,Term Insurance,Is there a need for long-term care insurance in India?,"Yes. This is because more than 70% of the people who are more than 65 years old need some sort of assistance and care in their old age. Other than that, nearly 40% of the people need some sort of a long-term caregiver or a nursing home for a certain period of time. This makes owning a long-term insurance policy important."
